area_type,location,size,total_sqft,bath,balcony,price
Super built-up  Area,Thanisandra,3 BHK,1262,2,1,83
Super built-up  Area,Thanisandra,3 BHK,1262,2,1,65
Super built-up  Area,Bellandur,2 BHK,1262,2,2,47
Super built-up  Area,Rajiv Nagar,2 BHK,1263,2,1,93.32
Super built-up  Area,Sarjapur  Road,2 BHK,1263,2,1,78
Super built-up  Area,Rajaji Nagar,2 BHK,1263,2,0,107
Super built-up  Area,Kammagondahalli,2 BHK,1263,2,1,51.5
Super built-up  Area,Hormavu,2 BHK,1263,2,1,47.36
Super built-up  Area,Dodda Nekkundi,2 BHK,1264,2,0,52
Super built-up  Area,Electronic City,2 BHK,1265,2,0,56.93
Super built-up  Area,Thanisandra,3 BHK,1265,2,1,79
Super built-up  Area,Thanisandra,2 BHK,1265,2,2,85
Super built-up  Area,Kaverappa Layout,2 BHK,1265,2,3,70
Super built-up  Area,Channasandra Layout,3 BHK,1265,2,1,82
Super built-up  Area,Thanisandra,2 BHK,1265,2,2,82
Super built-up  Area,HRBR Layout,2 BHK,1265,2,1,78
Super built-up  Area,Horamavu Agara,3 BHK,1265,2,1,65
Super built-up  Area,Akshaya Nagar,2 BHK,1265,2,3,67
Super built-up  Area,Shikaripalya,2 BHK,1265,2,1,58
Super built-up  Area,Thanisandra,2 BHK,1265,2,2,46.6
Super built-up  Area,Thanisandra,2 BHK,1265,2,1,78
Super built-up  Area,Thanisandra,2 BHK,1265,2,1,83
Super built-up  Area,BTM 2nd Stage,2 BHK,1265,2,2,55
Super built-up  Area,Chikkalasandra,3 BHK,1265,2,2,53.12
Super built-up  Area,Uttarahalli,3 BHK,1265,2,2,65
Super built-up  Area,Thanisandra,2 BHK,1265,2,1,72
Super built-up  Area,Nallurhalli,2 BHK,1265,2,2,68
Super built-up  Area,BTM 2nd Stage,3 BHK,1265,2,3,55
Super built-up  Area,Electronic City Phase II,2 BHK,1266,2,2,59
Super built-up  Area,Chokkanahalli,2 BHK,1266.67,2,0,69
Built-up  Area,Dommasandra,3 BHK,1267,3,2,56
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1267,2,2,42.85
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1267,2,1,54.35
Super built-up  Area,Whitefield,2 BHK,1267,2,1,90.33
Super built-up  Area,Yelahanka,2 BHK,1267,3,1,78
Super built-up  Area,Sonnenahalli,2 BHK,1268,2,1,73
Super built-up  Area,Bannerghatta Road,2 BHK,1268,2,1,69
Super built-up  Area,Rajaji Nagar,2 BHK,1268,2,1,127
Super built-up  Area,Sonnenahalli,3 BHK,1268,2,1,75
Super built-up  Area,Sonnenahalli,2 BHK,1268,2,1,58
Super built-up  Area,Sonnenahalli,2 BHK,1268,2,1,56
Super built-up  Area,Whitefield,2 BHK,1269,2,1,75
Built-up  Area,Hebbal,3 BHK,1269,2,1,73
Super built-up  Area,Nehru Nagar,3 BHK,1269,2,2,63
Super built-up  Area,4th Block Koramangala,2 BHK,1269,2,2,97
Super built-up  Area,8th Phase JP Nagar,3 BHK,1269,2,3,50.75
Super built-up  Area,Kaverappa Layout,2 BHK,1269.72,2,2,68
Super built-up  Area,Adarsh Nagar,2 BHK,1270,2,1,50
Super built-up  Area,7th Phase JP Nagar,2 BHK,1270,2,2,93
Super built-up  Area,Kodigehalli,2 BHK,1270,2,1,98
Super built-up  Area,5th Block Hbr Layout,3 BHK,1270,2,2,70
Super built-up  Area,Poorna Pragna Layout,3 BHK,1270,2,2,50.79
Super built-up  Area,7th Phase JP Nagar,2 BHK,1270,2,1,83
Super built-up  Area,Sahakara Nagar,2 BHK,1270,2,1,69.85
Super built-up  Area,Kothannur,3 BHK,1270,3,2,45
Plot  Area,Kumaraswami Layout,5 Bedroom,1270,4,1,128
Built-up  Area,Hanumantha Nagar,4 Bedroom,1270,2,1,175
Super built-up  Area,Poorna Pragna Layout,3 BHK,1270,2,2,50.79
Super built-up  Area,Poorna Pragna Layout,3 BHK,1270,2,2,50.79
Super built-up  Area,Yelahanka,2 BHK,1270,2,2,78
Super built-up  Area,Kalena Agrahara,2 BHK,1270,2,2,100
Super built-up  Area,Chikkalasandra,3 BHK,1270,2,3,55.25
Super built-up  Area,Poorna Pragna Layout,3 BHK,1270,2,1,50.79
Super built-up  Area,Poorna Pragna Layout,3 BHK,1270,2,3,50.79
Super built-up  Area,Brookefield,2 BHK,1270,2,1,95
Super built-up  Area,7th Phase JP Nagar,2 BHK,1270,2,1,80
Built-up  Area,Whitefield,3 BHK,1270,2,2,65
Super built-up  Area,Marathahalli,2 BHK,1270,2,3,73
Super built-up  Area,Uttarahalli,3 BHK,1270,2,2,55.25
Built-up  Area,Yelahanka,2 BHK,1270,2,2,57
Super built-up  Area,Uttarahalli,3 BHK,1270,2,1,55.25
Super built-up  Area,Poornapragna Housing Society Layout,3 BHK,1270,2,2,57.15
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1270,2,2,62
Built-up  Area,Sahakara Nagar,2 BHK,1270,2,1,96
Super built-up  Area,Whitefield,2 BHK,1270,2,1,94
Super built-up  Area,Poorna Pragna Layout,3 BHK,1270,2,2,50.79
Super built-up  Area,Sarjapur  Road,3 BHK,1270,2,1,54
Built-up  Area,Doddakallasandra,2 BHK,1270,2,2,42
Built-up  Area,Marathahalli,2 BHK,1270,2,2,80
Super built-up  Area,Thyagaraja Nagar,3 BHK,1270,2,2,95.25
Super built-up  Area,Poorna Pragna Layout,3 BHK,1270,2,2,50.79
Built-up  Area,Bannerghatta Road,2 BHK,1270,2,2,45
Built-up  Area,Bannerghatta Road,3 BHK,1270,2,1,73
Super built-up  Area,Tunganagara,3 BHK,1270,2,1,35.56
Built-up  Area,Defence Colony,2 BHK,1270,2,0,172
Built-up  Area,Whitefield,2 BHK,1270,2,1,110
Super built-up  Area,Whitefield,2 BHK,1270,2,1,105
Super built-up  Area,Whitefield,2 BHK,1270,2,2,52
Super built-up  Area,Whitefield,2 BHK,1272,2,1,95.05
Plot  Area,Shanthi Layout,3 Bedroom,1272,4,0,75
Super built-up  Area,Horamavu Banaswadi,2 BHK,1272,2,2,48
Super built-up  Area,Horamavu Banaswadi,2 BHK,1272,2,2,51.5
Super built-up  Area,Horamavu Banaswadi,2 BHK,1272,2,2,51.5
Super built-up  Area,Coconut Grove Layout,2 BHK,1272,2,2,51.5
Super built-up  Area,Horamavu Banaswadi,2 BHK,1272,2,2,50
Super built-up  Area,Sarjapur  Road,3 BHK,1272.5,2,0,40.72
Super built-up  Area,Sarjapur  Road,2 BHK,1273,2,2,60
Super built-up  Area,BTM 2nd Stage,2 BHK,1274,2,2,70
Super built-up  Area,Yelahanka,2 BHK,1274,2,2,48.42
Super built-up  Area,Badavala Nagar,2 BHK,1274,2,1,81
Super built-up  Area,Badavala Nagar,2 BHK,1274,2,1,81
Super built-up  Area,Badavala Nagar,2 BHK,1274,2,1,90
Super built-up  Area,Badavala Nagar,2 BHK,1274,2,1,90
Built-up  Area,Kaggadasapura,2 BHK,1275,2,2,52
Super built-up  Area,Kothannur,3 BHK,1275,2,2,43.85
Built-up  Area,Ulsoor,2 BHK,1275,2,0,120
Super built-up  Area,Bannerghatta Road,2 BHK,1275,2,2,65
Built-up  Area,Yelahanka,3 BHK,1275,2,2,95
Super built-up  Area,8th Phase JP Nagar,3 BHK,1275,2,2,41.5
Super built-up  Area,7th Phase JP Nagar,2 BHK,1275,2,1,87
Super built-up  Area,Kothannur,3 BHK,1275,2,2,39.8
Super built-up  Area,Sompura,3 BHK,1275,3,1,59
Super built-up  Area,JP Nagar,3 BHK,1275,3,2,41.2
Super built-up  Area,Kothannur,3 BHK,1275,3,2,44
Super built-up  Area,Bannerghatta Road,2 BHK,1275,2,1,73
Super built-up  Area,JP Nagar,3 BHK,1275,2,2,43.6
Super built-up  Area,Somasundara Palya,3 BHK,1275,2,2,52
Built-up  Area,Whitefield,3 BHK,1275,2,3,65
Super built-up  Area,Vimanapura,2 BHK,1275,2,2,47
Super built-up  Area,Siddapura,2 BHK,1275,2,1,105
Built-up  Area,Brooke Bond First Cross,2 BHK,1275,2,3,69
Super built-up  Area,Garebhavipalya,3 BHK,1275,3,2,55
Super built-up  Area,Ramanashree Enclave,2 BHK,1275,2,2,49.5
Built-up  Area,Electronic City,3 BHK,1275,3,1,70
Built-up  Area,7th Phase JP Nagar,3 BHK,1275,2,2,88
Super built-up  Area,Electronic City,3 BHK,1275,3,3,63.43
Super built-up  Area,Belatur,2 BHK,1275,2,2,59
Super built-up  Area,Nanjappa Garden,2 BHK,1275,2,3,55
Built-up  Area,"Sarjapur Road, ",2 BHK,1275,2,1,76
Super built-up  Area,8th Phase JP Nagar,3 BHK,1275,3,2,45
Super built-up  Area,Chikkalasandra,3 BHK,1275,2,2,55.46
Super built-up  Area,Battarahalli,2 BHK,1276,2,2,45
Super built-up  Area,Thanisandra,2 BHK,1276,2,2,75
Super built-up  Area,Hulimavu,2 BHK,1276,2,2,76
Super built-up  Area,Kammasandra,3 BHK,1276,2,1,31.9
Super built-up  Area,Domlur,2 BHK,1276,2,2,80
Super built-up  Area,Victoria Layout,2 BHK,1276,2,0,146
Super built-up  Area,Whitefield,2 BHK,1276,2,1,69.5
Super built-up  Area,Whitefield,2 BHK,1277,2,1,61.3
Built-up  Area,Subramanyapura,2 BHK,1277,2,2,55
Super built-up  Area,Kanakapura,2 BHK,1277,2,2,55
Built-up  Area,Varthur Road,2 BHK,1277,2,2,59
Super built-up  Area,Kaverappa Layout,2 BHK,1277,2,2,92
Super built-up  Area,Whitefield,2 BHK,1277,2,1,77
Super built-up  Area,Bhoganhalli,2 BHK,1277,2,1,79.89
Super built-up  Area,KR Puram,2 BHK,1277.5,2,0,56.8
Super built-up  Area,Yeshwanthpur,2 BHK,1277.5,2,0,95.815
Super built-up  Area,Sarjapur  Road,2 BHK,1278,2,2,95
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1278,2,1,53.76
Super built-up  Area,Sarjapur  Road,2 BHK,1278,2,2,90
Super built-up  Area,Subramanyapura,3 BHK,1278,2,2,59
Super built-up  Area,Subramanyapura,3 BHK,1278,3,2,62.71
Super built-up  Area,Subramanyapura,3 BHK,1278,3,2,70
Super built-up  Area,Jakkur,2 BHK,1279,2,1,77
Super built-up  Area,Uttarahalli,2 BHK,1279,2,2,48
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1279,2,1,53.76
Super built-up  Area,Keshava Nagar,2 BHK,1279,2,3,100
Super built-up  Area,Bommasandra Industrial Area,3 BHK,1280,3,1,50.4
Built-up  Area,Kundalahalli Colony,2 Bedroom,1280,2,1,69
Super built-up  Area,Kaggadasapura,3 BHK,1280,2,2,56
Super built-up  Area,Whitefield,2 BHK,1280,2,2,75
Built-up  Area,Akshaya Nagar,2 BHK,1280,2,0,58
Super built-up  Area,Whitefield,2 BHK,1280,2,1,75
Built-up  Area,Whitefield,2 BHK,1280,2,0,85
Super built-up  Area,Doddanekundi,2 BHK,1280,2,2,40
Super built-up  Area,Varthur,2 BHK,1280,2,0,65
Super built-up  Area,6th Phase JP Nagar,2 BHK,1280,2,0,56
Super built-up  Area,Whitefield,2 BHK,1280,2,2,52
Built-up  Area,Akshaya Nagar,2 BHK,1280,2,1,60
Super built-up  Area,Sarjapur  Road,2 BHK,1280,2,1,76
Built-up  Area,Gopalkrishna Nagar,2 BHK,1280,2,1,75
Built-up  Area,EPIP Zone,2 BHK,1280,2,1,69
Super built-up  Area,Pragathi Nagar,2 BHK,1280,2,1,49.75
Super built-up  Area,Akshaya Nagar,2 BHK,1280,2,1,60
Built-up  Area,Maruthi Sevanagar,4 Bedroom,1280,4,1,115
Super built-up  Area,Uttarahalli,2 BHK,1280,2,2,75
Built-up  Area,BTM 2nd Stage,2 BHK,1280,2,2,80
Super built-up  Area,Kalyan nagar,2 BHK,1280,2,1,48
Built-up  Area,Anjanapura,3 BHK,1280,2,2,45
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1280,3,2,57.6
Plot  Area,Lakkasandra Extension,5 Bedroom,1280,3,1,250
Super built-up  Area,Uttarahalli,3 BHK,1280,2,2,60
Built-up  Area,Chennappa Layout,3 BHK,1280,2,1,48
Super built-up  Area,Akshaya Vana,3 BHK,1280,2,2,49
Super built-up  Area,Kenchenahalli,3 BHK,1280,2,2,69
Plot  Area,Lingarajapuram,7 Bedroom,1280,5,3,150
Super built-up  Area,Brindavan Nagar,2 BHK,1280,2,2,90
Super built-up  Area,Whitefield,2 BHK,1280,2,2,69
Super built-up  Area,Bommasandra,3 BHK,1280,3,1,50
Super built-up  Area,Bannerghatta Road,2 BHK,1280,2,2,60.16
Super built-up  Area,Vasantha Vallabha Nagar,3 BHK,1280,2,1,100
Plot  Area,Shanthi Layout,3 Bedroom,1280,3,0,87
Super built-up  Area,Gottigere,2 BHK,1280,2,1,61
Super built-up  Area,Varsova Layout,3 BHK,1280,2,3,55
Super built-up  Area,Green Domain Layout,2 BHK,1280,2,2,75
Built-up  Area,Cox Town,2 BHK,1280,2,1,120
Built-up  Area,Bhuvaneshwari Nagar,2 BHK,1280,2,2,68.48
Super built-up  Area,6th Phase JP Nagar,2 BHK,1280,2,1,88
Carpet  Area,Kereguddadahalli,3 BHK,1280,3,1,42
Super built-up  Area,Bellandur,2 BHK,1281,2,1,74
Super built-up  Area,Bellandur,2 BHK,1281,2,2,87
Super built-up  Area,Devanahalli,3 BHK,1282,2,2,68.52
Super built-up  Area,Yelahanka,3 BHK,1282,2,2,48.7
Super built-up  Area,Magadi Road,3 BHK,1282,2,2,49
Super built-up  Area,Kaverappa Layout,2 BHK,1282,2,2,87
Super built-up  Area,Sarjapur  Road,2 BHK,1282,2,2,72
Super built-up  Area,Binny Pete,3 BHK,1282,3,2,178
Super built-up  Area,Devanahalli,3 BHK,1282,2,2,52.43
Super built-up  Area,Binny Pete,3 BHK,1282,3,2,178
Super built-up  Area,Yelahanka,3 BHK,1282,2,1,48.72
Super built-up  Area,Binny Pete,3 BHK,1282,3,2,178
Plot  Area,Binny Pete,3 Bedroom,1282,3,2,178
Super built-up  Area,Jakkur,2 BHK,1282,2,1,72
Super built-up  Area,Yelahanka,3 BHK,1282,2,1,48.72
Super built-up  Area,Kanakapura,2 BHK,1283,2,2,68
Super built-up  Area,Kanakpura Road,2 BHK,1283,2,2,63.22
Super built-up  Area,Horamavu Agara,3 BHK,1284,2,2,75
Super built-up  Area,Uttarahalli,2 BHK,1284,2,2,53.36
Super built-up  Area,EPIP Zone,2 BHK,1285,2,2,82
Super built-up  Area,Ncpr Industrial Layout,2 BHK,1285,2,3,72.5
Built-up  Area,Sarjapur,3 BHK,1285,2,2,68
Super built-up  Area,Hennur,2 BHK,1285,2,1,60
Super built-up  Area,Hennur,2 BHK,1285,2,1,60
Super built-up  Area,Whitefield,2 BHK,1285,2,2,55.9
Super built-up  Area,Uttarahalli,3 BHK,1285,2,2,44.98
Super built-up  Area,Yelahanka,2 BHK,1285,2,2,56
Super built-up  Area,Byrasandra Extension,2 BHK,1285,2,2,45
Super built-up  Area,CV Raman Nagar,2 BHK,1285,2,2,65
Super built-up  Area,Marathahalli,2 BHK,1285,2,2,55
Super built-up  Area,Shikaripalya,3 BHK,1285,2,2,45
Super built-up  Area,Haralur Road,2 BHK,1285,2,1,78
Super built-up  Area,Kothanur,2 BHK,1285,2,1,60
Super built-up  Area,Gubbalala,2 BHK,1285,2,2,90
Super built-up  Area,Uttarahalli,2 BHK,1286,2,2,63
Super built-up  Area,Dasanapura,3 BHK,1286,3,2,61.44
Super built-up  Area,Bellandur,2 BHK,1286,2,2,57
Built-up  Area,Peenya,3 BHK,1286,3,1,67
Super built-up  Area,Electronic City Phase II,2 BHK,1286,2,2,69
Super built-up  Area,Dasanapura,3 BHK,1286,2,1,68
Built-up  Area,Electronic City,3 BHK,1287,3,1,55
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1288,2,1,70
Super built-up  Area,HSR Layout,2 BHK,1289,2,0,70
Super built-up  Area,Chikkalasandra,3 BHK,1290,2,2,56.12
Super built-up  Area,Kalyan nagar,2 BHK,1290,2,2,110
Super built-up  Area,Kanakpura Road,2 BHK,1290,2,3,74
Super built-up  Area,Koramangala,2 BHK,1290,2,3,100
Super built-up  Area,Harlur,2 BHK,1290,2,1,85
Super built-up  Area,Kanakapura,3 BHK,1290,2,3,45.15
Super built-up  Area,Jakkur,2 BHK,1290,2,1,100
Super built-up  Area,Kanakapura,3 BHK,1290,3,3,45.15
Super built-up  Area,Harlur,2 BHK,1290,2,1,87
Super built-up  Area,Hennur Road,3 BHK,1290,2,1,94.5
Super built-up  Area,KR Puram,2 BHK,1290,2,1,49.02
Super built-up  Area,Jakkur,2 BHK,1290,2,1,80
Super built-up  Area,Kanakpura Road,2 BHK,1290,2,3,80
Plot  Area,Mahalakshmi Puram,2 Bedroom,1290,1,0,225
Super built-up  Area,Marathahalli,2 BHK,1290,2,2,52
Super built-up  Area,Maithri Layout,2 BHK,1290,2,3,40.63
Super built-up  Area,Malleshwaram,2 BHK,1290,2,1,120
Super built-up  Area,Banashankari,2 BHK,1290,2,2,80
Built-up  Area,Bommanahalli,2 BHK,1290,2,1,73
Plot  Area,Kothnur Narayanapura,2 Bedroom,1290,1,0,77.5
Built-up  Area,Whitefield,2 BHK,1290,2,0,90
Super built-up  Area,Chikkalasandra,3 BHK,1290,2,2,56.12
Super built-up  Area,Harlur,2 BHK,1290,2,1,89.9
Super built-up  Area,Jakkur,2 BHK,1290,2,1,85
Super built-up  Area,Doddabanahalli,3 BHK,1290,3,2,45.33
Super built-up  Area,Jakkur,2 BHK,1290,2,1,80.04
Super built-up  Area,Kanakapura,3 BHK,1290,2,3,51.1
Super built-up  Area,KR Puram,2 BHK,1290,2,2,69
Super built-up  Area,Devanahalli,3 BHK,1290,2,1,62
Super built-up  Area,Kanakapura,3 BHK,1290,2,3,38.69
Super built-up  Area,Chikkalasandra,2 BHK,1290,2,2,72
Super built-up  Area,Vijinapura,2 BHK,1290,2,2,71.95
Super built-up  Area,Uttarahalli,3 BHK,1290,2,3,56.12
Super built-up  Area,Sarjapur  Road,2 BHK,1290,2,2,88
Built-up  Area,Yelahanka New Town,2 BHK,1290,2,2,70
Super built-up  Area,Billekahalli,3 BHK,1290,3,3,62
Super built-up  Area,Uttarahalli,3 BHK,1290,2,2,56.12
Super built-up  Area,Kundalahalli,2 BHK,1291,2,3,49
Super built-up  Area,Electronics City Phase 1,3 BHK,1291,2,3,32
Super built-up  Area,Jakkur,2 BHK,1291,2,1,75
Super built-up  Area,Sahakara Nagar,2 BHK,1291,2,2,72.3
Super built-up  Area,Kudlu,3 BHK,1293,2,2,85
Super built-up  Area,Rajiv Gandhi Nagar,2 BHK,1293,2,2,75
Super built-up  Area,Kudlu,3 BHK,1293,2,2,80
Super built-up  Area,Rajiv Gandhi Nagar,2 BHK,1293,2,2,80
Super built-up  Area,Rajiv Gandhi Nagar,2 BHK,1293,2,2,80
Super built-up  Area,Banjara Layout,3 BHK,1294,2,2,48
Super built-up  Area,Basapura,3 BHK,1294,2,2,52
Super built-up  Area,Hebbal,2 BHK,1294,2,1,115
Super built-up  Area,Dasarahalli,2 BHK,1295,2,1,65
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1295,2,2,43.9
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1295,2,1,55.47
Super built-up  Area,Garudachar Palya,3 BHK,1295,2,1,59.5
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1295,2,2,70
Super built-up  Area,Garudachar Palya,3 BHK,1295,2,2,59.5
Super built-up  Area,Kanakapura,2 BHK,1295,2,2,64
Super built-up  Area,Bommasandra,3 BHK,1295,2,1,50.28
Super built-up  Area,Ramagondanahalli,2 BHK,1295,2,2,95
Super built-up  Area,Ramagondanahalli,2 BHK,1295,2,2,95
Super built-up  Area,Whitefield,2 BHK,1295,2,3,78.5
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1295,2,2,55.47
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1295,2,2,43.9
Super built-up  Area,Hennur,2 BHK,1295,2,1,64
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1295,2,1,55.47
Super built-up  Area,Whitefield,2 BHK,1295,2,1,64.5
Super built-up  Area,Hennur,2 BHK,1295,2,1,62
Built-up  Area,Murugeshpalya,2 BHK,1296,2,0,81
Super built-up  Area,Thanisandra,2 BHK,1296,2,3,80
Super built-up  Area,Thanisandra,2 BHK,1296,2,2,83
Super built-up  Area,Sector 2 HSR Layout,2 BHK,1296,2,1,75
Super built-up  Area,Kanakpura Road,2 BHK,1296,2,1,89
Super built-up  Area,Kanakpura Road,2 BHK,1296,2,3,89.06
Super built-up  Area,Thanisandra,2 BHK,1296,2,2,72
Super built-up  Area,Electronic City,2 BHK,1296,2,2,65
Super built-up  Area,Kanakpura Road,2 BHK,1296,2,1,89
Super built-up  Area, Devarabeesana Halli,2 BHK,1296,2,2,70
Super built-up  Area,Kanakpura Road,2 BHK,1296,2,2,105
Super built-up  Area,8th Phase JP Nagar,3 BHK,1296,2,2,51.83
Super built-up  Area,Thigalarapalya,2 BHK,1297,2,2,112
Super built-up  Area,Thigalarapalya,2 BHK,1297,2,2,103
Super built-up  Area,Kanakpura Road,2 BHK,1297,2,1,105
Built-up  Area,Hennur Road,2 BHK,1297,2,1,49.9
Super built-up  Area,Thigalarapalya,2 BHK,1297,2,2,98
Built-up  Area,8th Phase JP Nagar,2 BHK,1298,2,1,59
Built-up  Area,"Off Sarjapur Road, ",2 BHK,1298,2,1,65
Super built-up  Area,Bellandur,2 BHK,1299,2,2,82
Super built-up  Area,Kanakpura Road,2 BHK,1299,2,2,85
Built-up  Area,Hebbal,2 BHK,1299,2,1,100
Super built-up  Area,Old Madras Road,2 BHK,1299,2,2,95
Super built-up  Area,Kanakpura Road,2 BHK,1299,2,1,105
Super built-up  Area,Hebbal,2 BHK,1299,2,1,97
Super built-up  Area,Kanakpura Road,2 BHK,1299,2,1,89.63
Super built-up  Area,Kodichikkanahalli,2 BHK,1299,2,3,58
Super built-up  Area,Kothnur Narayanapura,6 BHK,1300,6,0,99
Built-up  Area,Silk Board,3 BHK,1300,3,1,58
Plot  Area,Hosa Road,6 Bedroom,1300,6,0,145
Super built-up  Area,Hulimavu,2 BHK,1300,2,3,36
Super built-up  Area,Battarahalli,2 BHK,1300,2,1,50
Super built-up  Area,Byatarayanapura,1 BHK,1300,1,0,200
Super built-up  Area,sapthagiri Layout,2 BHK,1300,1,1,115
Built-up  Area,Banashankari,3 BHK,1300,2,2,75
Super built-up  Area,Banashankari Stage V,3 BHK,1300,2,1,58.5
Super built-up  Area,Jigani,3 BHK,1300,3,3,150
Super built-up  Area,Judicial Layout,3 BHK,1300,3,1,64
Super built-up  Area,Kanakpura Road,3 BHK,1300,2,3,69
Super built-up  Area,Dasarahalli,2 BHK,1300,2,3,55
Built-up  Area,Manjunatha Layout,2 BHK,1300,2,1,60
Built-up  Area,Kothannur,3 BHK,1300,2,0,60
Super built-up  Area,Rustam Bagh Layout,2 BHK,1300,2,2,65
Super built-up  Area,Sarjapur  Road,2 BHK,1300,2,2,60
Super built-up  Area,Choodasandra,2 BHK,1300,2,3,57
Super built-up  Area,Koramangala,2 BHK,1300,2,3,110
Built-up  Area,NRI Layout,2 Bedroom,1300,2,0,120
Super built-up  Area,7th Phase JP Nagar,3 BHK,1300,2,2,52
Super built-up  Area,B Channasandra,2 BHK,1300,2,1,79
Super built-up  Area,Gottigere,3 BHK,1300,3,3,65
Super built-up  Area,Yelahanka,2 BHK,1300,2,3,65
Super built-up  Area,Haralur Road,2 BHK,1300,2,2,73
Super built-up  Area,Akshaya Vana,3 BHK,1300,2,1,49
Built-up  Area,Sarjapur  Road,3 BHK,1300,2,2,70
Super built-up  Area,OMBR Layout,2 BHK,1300,2,2,80
Plot  Area,Popular Colony,2 Bedroom,1300,2,0,54
Super built-up  Area,Uttarahalli,3 BHK,1300,2,1,55
Super built-up  Area,Jakkur,2 BHK,1300,2,1,85
Super built-up  Area,JP Nagar,2 BHK,1300,2,1,90.87
Built-up  Area,Sarjapur  Road,3 BHK,1300,3,2,60
Super built-up  Area,7th Phase JP Nagar,3 BHK,1300,2,2,52
Super built-up  Area,Kaikondrahalli,2 BHK,1300,2,2,61
Super built-up  Area,Singasandra,2 BHK,1300,2,2,65
Super built-up  Area,Victoria Layout,2 BHK,1300,2,1,129
Super built-up  Area,Haralur Road,2 BHK,1300,2,2,79
Built-up  Area,Ramanjaneyanagar,3 BHK,1300,2,2,70
Super built-up  Area,Uttarahalli,3 BHK,1300,2,2,60
Super built-up  Area,Roopena Agrahara,3 BHK,1300,3,2,47
Super built-up  Area,Kanakpura Road,3 BHK,1300,3,2,69
Super built-up  Area,JP Nagar,2 BHK,1300,2,1,109
Built-up  Area,Hebbal Kempapura,2 BHK,1300,2,2,102
Super built-up  Area,Kereguddadahalli,3 BHK,1300,2,2,39
Super built-up  Area,Nagavarapalya,3 BHK,1300,3,1,80
Super built-up  Area,7th Phase JP Nagar,3 BHK,1300,3,2,89.13
Super built-up  Area,Kathriguppe,3 BHK,1300,3,2,77.99
Super built-up  Area,Jalahalli East,3 BHK,1300,2,1,63
Super built-up  Area,Haralur Road,2 BHK,1300,2,2,75
Plot  Area,Varthur Road,4 Bedroom,1300,3,0,75
Super built-up  Area,Kanakpura Road,2 BHK,1300,2,1,89.76
Super built-up  Area,Vijayanagar,3 BHK,1300,2,2,75
Super built-up  Area,HSR Layout,2 BHK,1300,2,2,98
Super built-up  Area,Uttarahalli,3 BHK,1300,2,1,47
Super built-up  Area,Koramangala,2 BHK,1300,2,2,82
Built-up  Area,Ramamurthy Nagar,3 BHK,1300,2,2,52
Built-up  Area,Dasarahalli,2 BHK,1300,2,2,50
Built-up  Area,Haralur Road,2 BHK,1300,2,2,60
Super built-up  Area,Bommanahalli,3 BHK,1300,3,2,45
Built-up  Area,"Judicial Layout, Kanakapura Road, ",3 BHK,1300,3,2,64
Super built-up  Area,Lakshminarayana Pura,2 BHK,1300,2,1,70
Built-up  Area,Banashankari,3 BHK,1300,2,2,55
Super built-up  Area,2nd Phase Judicial Layout,3 BHK,1300,3,2,64
Super built-up  Area,Benson Town,2 BHK,1300,2,1,120
Built-up  Area,BTM Layout,3 BHK,1300,2,1,75
Built-up  Area,Upadhyaya Layout,3 BHK,1300,2,1,67
Super built-up  Area,Old Madras Road,2 BHK,1300,2,2,100
Super built-up  Area,Kathriguppe,3 BHK,1300,3,2,77.99
Super built-up  Area,Akshaya Nagar,2 BHK,1300,2,1,54
Super built-up  Area,Thomas Town,2 BHK,1300,2,0,60
Super built-up  Area,Uttarahalli,2 BHK,1300,2,2,55
Built-up  Area,KR Garden,2 BHK,1300,2,2,60
Super built-up  Area,Doddabommasandra,2 BHK,1300,2,3,32
Super built-up  Area,Whitefield,2 BHK,1300,2,2,78
Super built-up  Area,Doddathoguru,3 BHK,1300,2,1,42
Super built-up  Area,Kanakpura Road,3 BHK,1300,2,2,55
Plot  Area,Karuna Nagar,3 Bedroom,1300,3,1,170
Plot  Area,Devara Jeevanahalli,7 Bedroom,1300,4,1,52
Super built-up  Area,Dwaraka Nagar,3 BHK,1300,2,1,51
Built-up  Area,Amblipura,3 BHK,1300,2,1,80
Built-up  Area,9th Phase JP Nagar,3 BHK,1300,2,2,58
Super built-up  Area,7th Phase JP Nagar,3 BHK,1300,2,2,52
Built-up  Area,Jakkur,2 BHK,1300,2,2,80
Super built-up  Area,Yelahanka,2 BHK,1300,2,2,69.23
Built-up  Area,Old Madras Road,2 BHK,1300,2,2,100
Super built-up  Area,Akshaya Nagar,2 BHK,1300,2,2,66
